incident_id,year,incident_type
3614,2024,Data theft & Doxing
3614,2024,Hijacking with Misuse
3613,2024,Disruption
3612,2024,Disruption
3612,2024,Hijacking with Misuse
3612,2024,Ransomware
3611,2024,Disruption
3611,2024,Hijacking with Misuse
3611,2024,Ransomware
3610,2024,Data theft & Doxing
3610,2024,Hijacking with Misuse
3609,2022,Hijacking without Misuse
3608,2022,Data theft
3608,2022,Hijacking with Misuse
3607,2024,Disruption
3606,2024,Disruption
3606,2024,Hijacking with Misuse
3605,2024,Disruption
3605,2024,Hijacking with Misuse
3603,2024,Data theft
3603,2024,Disruption
3603,2024,Hijacking with Misuse
3603,2024,Ransomware
3600,2024,Hijacking with Misuse
3599,2024,Data theft
3599,2024,Hijacking with Misuse
3598,2024,Data theft
3598,2024,Hijacking with Misuse
3598,2024,Ransomware
3597,2024,Data theft
3597,2024,Disruption
3597,2024,Hijacking with Misuse
3596,2024,Data theft
3596,2024,Hijacking with Misuse
3594,2024,Data theft
3594,2024,Disruption
3594,2024,Hijacking with Misuse
3594,2024,Ransomware
3593,2024,Data theft
3593,2024,Hijacking with Misuse
3592,2024,Data theft
3592,2024,Disruption
3592,2024,Hijacking with Misuse
3592,2024,Ransomware
3591,2024,Disruption
3591,2024,Hijacking with Misuse
3590,2024,Disruption
3590,2024,Hijacking with Misuse
3589,2024,Hijacking without Misuse
3588,2021,Hijacking without Misuse
3586,2024,Disruption
3586,2024,Hijacking with Misuse
3585,2024,Data theft & Doxing
3585,2024,Disruption
3585,2024,Hijacking with Misuse
3585,2024,Ransomware
3584,2021,Hijacking without Misuse
3583,2024,Data theft & Doxing
3583,2024,Disruption
3583,2024,Hijacking with Misuse
3583,2024,Ransomware
3582,2024,Data theft
3582,2024,Disruption
3582,2024,Hijacking with Misuse
3582,2024,Ransomware
3580,2024,Disruption
3580,2024,Hijacking with Misuse
3580,2024,Ransomware
3579,2023,Data theft
3579,2023,Hijacking with Misuse
3577,2024,Disruption
3577,2024,Hijacking with Misuse
3577,2024,Ransomware
3576,2023,Data theft
3576,2023,Hijacking with Misuse
3575,2021,Hijacking with Misuse
3574,2024,Data theft
3574,2024,Disruption
3574,2024,Hijacking with Misuse
3574,2024,Ransomware
